DATE,SMB,HML
200005,-5.11,2.57
200006,13.85,-9.86
200007,-2.76,8.06
200008,-1.15,-0.66
200009,-1.32,6.13
200010,-3.8,5.64
200011,-2.77,11.26
200012,0.96,7.38
200101,6.54,-4.86
200102,-0.72,12.87
200103,0.35,6.46
200104,0.54,-4.72
200105,2.58,3.17
200106,6.03,-1.03
200107,-4.35,5.57
200108,2.5,2.5
200109,-6.12,1.6
200110,7.63,-8.1
200111,-0.41,2.01
200112,4.57,1.1
200201,1.19,3.33
200202,-1.1,2.5
200203,4.23,1.1
200204,5.94,3.93
200205,-3.21,1.68
200206,4.27,0.12
200207,-5.3,-3.44
200208,-2.44,2.53
200209,2.57,1.32
200210,-2.9,-5.45
200211,2.84,-1.12
200212,0.01,2.23
200301,1.38,-0.94
200302,-0.34,-1.45
200303,0.89,-2.07
200304,0.56,1.03
200305,4.69,-0.29
200306,1.67,0.69
200307,5.24,-1.14
200308,2.6,2.03
200309,0.8,0.01
200310,2.68,1.77
200311,2.02,1.85
200312,-3,2.41
200401,2.8,1.97
200402,-1.43,0.5
200403,1.75,0.22
200404,-2.06,-2.62
200405,-0.21,-0.39
200406,2.26,1.39
200407,-3.81,4.11
200408,-1.62,1.03
200409,3.03,-0.25
200410,0.31,-0.63
200411,3.9,1.79
200412,0.11,-0.08
200501,-1.51,1.96
200502,-0.5,1.65
200503,-1.37,1.61
200504,-3.98,-0.35
200505,2.88,-0.81
200506,2.62,2.63
200507,2.93,-0.52
200508,-0.92,1.27
200509,-0.58,0.77
200510,-1.21,0.22
200511,0.9,-1.19
200512,-0.46,0.44
200601,5.42,1.13
200602,-0.37,-0.25
200603,3.54,0.6
200604,-1.34,2.61
200605,-3.05,2.54
200606,-0.35,0.87
200607,-4.07,2.94
200608,0.91,-1.71
200609,-1.37,0.04
200610,1.73,-0.03
200611,0.86,0.08
200612,-1.1,3.16
200701,0.1,-0.11
200702,1.32,-0.1
200703,-0.05,-0.22
200704,-2.06,-1.15
200705,0.02,-0.04
200706,0.77,-1.12
200707,-2.51,-3.33
200708,-0.13,-2.24
200709,-2.29,-1.86
200710,0.22,-2.6
200711,-2.62,-1.18
200712,0.2,-0.51
200801,-0.9,3.65
200802,-0.24,-0.94
200803,0.95,-0.14
200804,-1.64,-0.95
200805,3.22,-1.38
200806,1.28,-2.42
200807,2.45,5.88
200808,3.61,1.52
200809,-1.16,6.33
200810,-2.32,-2.89
200811,-2.96,-6.02
200812,3.61,-0.25
200901,0.08,-11.18
200902,0.22,-7.27
200903,-0.08,3.56
200904,4.77,5.53
200905,-2.34,-0.23
200906,2.62,-2.72
200907,2.07,5.28
200908,-0.9,7.75
200909,2.46,0.93
200910,-4.23,-4.18
200911,-2.5,-0.17
200912,6.1,0
201001,0.38,0.3
201002,1.21,3.16
201003,1.43,2.11
201004,4.97,2.81
201005,0.05,-2.38
201006,-1.97,-4.5
201007,0.17,-0.26
201008,-3,-1.95
201009,3.92,-3.13
201010,1.13,-2.6
201011,3.7,-0.9
201012,0.69,3.82
201101,-2.47,0.82
201102,1.53,1.1
201103,2.6,-1.58
201104,-0.34,-2.52
201105,-0.7,-2.08
201106,-0.16,-0.32
201107,-1.35,-1.21
201108,-3.05,-2.48
201109,-3.53,-1.41
201110,3.42,-0.18
201111,-0.17,-0.34
201112,-0.7,1.77
201201,2.15,-1.13
201202,-1.75,0.08
201203,-0.62,0.92
201204,-0.52,-0.48
201205,0,-0.59
201206,0.76,0.44
201207,-2.61,-0.27
201208,0.4,1.31
201209,0.49,1.53
201210,-1.15,3.79
201211,0.59,-0.97
201212,1.48,3.58
201301,0.39,0.95
201302,-0.45,0.03
201303,0.81,-0.3
201304,-2.42,0.62
201305,1.66,2.6
201306,1.17,-0.17
201307,1.86,0.56
201308,0.31,-2.78
201309,2.92,-1.19
201310,-1.51,1.14
201311,1.22,0.24
201312,-0.5,-0.31
201401,0.85,-2.09
201402,0.34,-0.4
201403,-1.89,5.09
201404,-4.24,1.14
201405,-1.86,-0.27
201406,3.08,-0.74
201407,-4.25,0.01
201408,0.36,-0.59
201409,-3.83,-1.23
201410,4.21,-1.7
201411,-2.09,-3
201412,2.55,2.06
201501,-0.56,-3.48
201502,0.49,-1.81
201503,3.03,-0.46
201504,-2.98,1.85
201505,0.87,-1.37
201506,2.83,-0.79
201507,-4.15,-4.12
201508,0.49,2.66
201509,-2.64,0.53
201510,-1.97,-0.07
201511,3.64,-0.51
201512,-2.83,-2.59
201601,-3.35,2.08
201602,0.79,-0.5
201603,0.87,1.16
201604,0.69,3.26
201605,-0.27,-1.81
201606,0.65,-1.47
201607,2.64,-1.11
201608,1.16,3.34
201609,2.02,-1.49
201610,-4.39,4.16
201611,5.47,8.29
201612,0.1,3.58
201701,-1.04,-2.78
201702,-2.02,-1.79
201703,1.2,-3.17
201704,0.71,-1.87
201705,-2.54,-3.78
201706,2.17,1.35
201707,-1.41,-0.29
201708,-1.67,-2.24
201709,4.55,3.03
201710,-1.94,-0.05
201711,-0.65,-0.04
201712,-1.28,0.14
201801,-3.03,-1.37
201802,0.26,-1.19
201803,3.95,-0.12
201804,1.12,0.54
201805,5.23,-3.16
201806,1.18,-2.38
201807,-2.17,0.43
201808,1.15,-4.08
201809,-2.37,-1.3
201810,-4.76,3.44
201811,-0.79,0.25
201812,-2.63,-1.47
201901,3.01,-0.62
201902,2.06,-2.84
201903,-3.13,-4.07
201904,-1.68,1.93
201905,-1.2,-2.39
201906,0.34,-1.08
201907,-2.07,0.14
201908,-2.41,-4.99
201909,-0.9,6.71
201910,0.25,-2.07
201911,0.87,-1.86
201912,0.68,1.83
202001,-3.11,-6.27
202002,0.96,-4
